,instrument,exchange_timestamp,last_price,volume,turnover,volume_lot,cum_bid_qty,cum_ask_qty,bid0_price,bid0_qty,bid0_qty_unit,bid1_price,bid1_qty,bid1_qty_unit,bid2_price,bid2_qty,bid2_qty_unit,bid3_price,bid3_qty,bid3_qty_unit,bid4_price,bid4_qty,bid4_qty_unit,bid5_price,bid5_qty,bid5_qty_unit,bid6_price,bid6_qty,bid6_qty_unit,bid7_price,bid7_qty,bid7_qty_unit,bid8_price,bid8_qty,bid8_qty_unit,bid9_price,bid9_qty,bid9_qty_unit,ask0_price,ask0_qty,ask0_qty_unit,ask1_price,ask1_qty,ask1_qty_unit,ask2_price,ask2_qty,ask2_qty_unit,ask3_price,ask3_qty,ask3_qty_unit,ask4_price,ask4_qty,ask4_qty_unit,ask5_price,ask5_qty,ask5_qty_unit,ask6_price,ask6_qty,ask6_qty_unit,ask7_price,ask7_qty,ask7_qty_unit,ask8_price,ask8_qty,ask8_qty_unit,ask9_price,ask9_qty,ask9_qty_unit,bid_cancel_unit,bid_cancel_qty,bid_cancel_amount,cum_bid_unit,bid_max_waiting_time,bid_order_number,ask_cancel_unit,ask_cancel_qty,ask_cancel_amount,cum_ask_unit,ask_max_waiting_time,ask_order_amount
14871,SZE123037,2020-08-21 09:30:03,186.5,23630,4408140.09,234,20850,16910,186.5,10,1,186.28099999999998,50,1,186.28,30,1,186.2,240,2,186.1,70,2,186.00900000000001,140,1,186.0,2180,29,185.771,450,3,185.77,160,3,185.0,5480,8,187.77700000000002,720,1,188.5,250,1,189.0,200,1,189.688,2430,1,189.8,200,1,189.9,2600,2,189.97,290,1,189.99,50,1,189.99900000000002,140,1,190.0,810,5,0,0,0.0,0,0,0,0,0,0.0,0,0,0
15205,SZE123037,2020-08-21 09:30:06,187.002,32310,6034359.97,344,45160,29060,187.002,840,1,186.55,410,2,186.50099999999998,100,2,186.5,810,2,186.38,280,1,186.3,270,1,186.282,800,1,186.28,930,2,186.201,140,1,186.2,510,2,187.577,300,1,187.77,10,1,187.88,130,1,187.98,1000,1,187.99,1000,1,188.0,1130,4,188.5,310,2,188.6,100,1,188.77,1000,1,188.82,70,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
15497,SZE123037,2020-08-21 09:30:09,187.99,37570,7019662.82,405,56630,30210,187.605,60,1,187.003,850,2,187.0,1530,7,186.9,10,1,186.801,50,1,186.601,50,1,186.551,150,2,186.502,50,1,186.5,1500,7,186.38,280,1,187.99,540,1,188.0,1490,7,188.5,310,2,188.6,100,1,188.82,70,1,188.88,10,1,188.99,1020,1,189.0,320,3,189.25900000000001,40,1,189.688,2430,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
15791,SZE123037,2020-08-21 09:30:12,188.00400000000002,43720,8176492.82,460,62390,27520,188.00599999999997,80,1,188.00400000000002,370,1,188.003,60,1,188.0,450,4,187.888,10,1,187.78599999999997,790,1,187.78,760,2,187.77700000000002,30,1,187.00400000000002,720,1,187.002,200,2,188.987,60,1,188.988,100,1,188.99,20,1,189.0,320,3,189.25900000000001,40,1,189.688,2430,1,189.77,470,3,189.798,10,1,189.8,270,3,189.88,2140,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
16080,SZE123037,2020-08-21 09:30:15,188.00099999999998,47780,8942462.76,500,64920,30630,188.82,1060,1,188.122,60,1,188.11900000000003,150,1,188.0,300,5,187.99,700,4,187.98,630,1,187.888,10,1,187.88,390,1,187.78,760,2,187.77700000000002,30,1,189.253,60,1,189.25599999999997,40,1,189.55700000000002,80,1,189.675,460,1,189.676,300,2,189.67700000000002,640,1,189.683,140,1,189.68400000000003,70,1,189.688,2260,1,189.77,470,3,0,0,0.0,0,0,0,0,0,0.0,0,0,0
16344,SZE123037,2020-08-21 09:30:18,188.99,50520,9460079.25,532,62960,30630,188.99099999999999,70,1,188.99,20,1,188.988,10,1,188.123,60,1,188.012,40,1,188.00599999999997,10,1,188.00099999999998,50,1,188.0,1460,9,187.99,2680,12,187.98,630,1,189.173,640,1,189.176,90,1,189.17700000000002,10,1,189.507,10,1,189.55700000000002,40,1,189.675,460,1,189.676,300,2,189.68400000000003,70,1,189.688,2260,1,189.77,470,3,0,0,0.0,0,0,0,0,0,0.0,0,0,0
16617,SZE123037,2020-08-21 09:30:21,189.253,52780,9887653.75,565,64360,29970,189.25599999999997,60,1,189.253,700,2,189.25,100,1,189.188,50,1,188.998,20,1,188.99,130,2,188.988,50,1,188.987,270,2,188.835,50,1,188.12400000000002,680,1,189.669,130,1,189.67,100,1,189.672,60,1,189.675,330,1,189.676,300,2,189.688,2260,1,189.77,470,3,189.798,10,1,189.8,270,3,189.88,2140,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
16858,SZE123037,2020-08-21 09:30:24,188.815,60820,11405473.25,618,56140,39620,188.162,60,1,188.15900000000002,20,1,188.149,740,1,188.148,100,1,188.14700000000002,80,1,188.136,90,1,188.135,30,1,188.123,90,2,188.05,70,1,188.02,280,1,188.81799999999998,200,1,188.82,4030,1,188.99099999999999,210,2,189.0,500,1,189.173,160,1,189.253,5000,1,189.36700000000002,20,1,189.452,50,1,189.676,300,2,189.688,2260,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
17147,SZE123037,2020-08-21 09:30:27,188.817,69650,13069566.56,691,49860,38440,188.179,120,1,188.178,60,1,188.175,50,1,188.172,10,1,188.16099999999997,480,1,188.00099999999998,30,1,188.0,50,1,187.99,810,5,187.78,50,1,187.77700000000002,100,1,188.82,1820,1,188.99,610,2,188.99099999999999,370,4,189.0,500,1,189.173,160,1,189.253,5020,2,189.25599999999997,110,2,189.26,360,1,189.668,30,1,189.676,300,2,0,0,0.0,0,0,0,0,0,0.0,0,0,0
17396,SZE123037,2020-08-21 09:30:30,189.253,81120,15237545.09,749,48410,30830,189.1,270,1,188.99099999999999,100,1,188.99,20,1,188.987,730,2,188.955,20,1,188.82,310,3,188.81799999999998,70,2,188.71200000000002,50,1,188.19099999999997,160,2,188.0,50,1,189.253,510,3,189.25599999999997,210,3,189.26,360,1,189.669,10,1,189.676,300,2,189.688,2260,1,189.77,470,3,189.798,10,1,189.8,270,3,189.88,2140,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0
